id,name,description,price,category,subcategory,image
15278,Nike Men Sports White Socks,Will be described later,30.708,Men,accessories,http://assets.myntassets.com/v1/images/style/properties/a4115210e2ae1cc09fd7db4f10a8915c_images.jpg
17777,Reid & Taylor Men Classic Black Belt,Will be described later,98.318,Men,accessories,http://assets.myntassets.com/v1/images/style/properties/2736a537412d8bb834d77125f169dd1a_images.jpg
25325,Casio Edifice Men Multi-Dial Watch EF-334D-1AVDF(ED420),Will be described later,65.67,Men,accessories,http://assets.myntassets.com/assets/images/25325/2018/3/5/11520250195096-Casio-Edifice-Men-Silver-Analogue-Watches-ED420-EF-334D-1AVDF-8391520250194925-1.jpg
59571,Revv Men Purple Cufflinks,Will be described later,80.628,Men,accessories,http://assets.myntassets.com/v1/images/style/properties/Revv-Men-Purple-Cufflinks_4d9f534418b1a2c2a668435fc6c0cfea_images.jpg
49711,Park Avenue Men Maroon Tie,Will be described later,66.612,Men,accessories,http://assets.myntassets.com/v1/images/style/properties/46f26b2f076d92c7dfbdf128197c8efd_images.jpg
45030,Maxima Men Black Watch,Will be described later,57.496,Men,accessories,http://assets.myntassets.com/v1/images/style/properties/27aa87ff4437da52bcf8ab9624f5fa0e_images.jpg
46440,Timex Men Silver Dial Chronograph Watch,Will be described later,74.34,Men,accessories,http://assets.myntassets.com/v1/images/style/properties/Timex-Men-Silver-Dial-Chronograph-Watch_8b1e633293b61535cfdf813f434b18b9_images.jpg
58841,Hakashi Men Gunmetal Grey Cufflinks,Will be described later,64.331,Men,accessories,http://assets.myntassets.com/v1/images/style/properties/Hakashi-Men-Grey-designer-Cufflinks_bb15da8ef580d93ca42a9bb554d96f27_images.jpg
49790,Flying Machine Men Black Cap,Will be described later,59.423,Men,accessories,http://assets.myntassets.com/v1/images/style/properties/14ad5e263bec744c903894c0c21fc3f6_images.jpg
36920,Fossil Men Black Evans Wallet,Will be described later,31.233,Men,accessories,http://assets.myntassets.com/v1/images/style/properties/968c4ac77bebde6e4adfeaf3c4b25dfc_images.jpg
11131,Puma Men Beat Black Watches,Will be described later,38.164,Men,accessories,http://assets.myntassets.com/v1/images/style/properties/f9826a8049fc46c0bba21c20fc0cc722_images.jpg
30567,Opium Men Black Sunglass,Will be described later,91.108,Men,accessories,http://assets.myntassets.com/v1/images/style/properties/993fb875d20fa5770752b8f66f3c4f43_images.jpg
1596,Quechua Easy-to-Carry Pink Sipper,Will be described later,43.218,Men,accessories,http://assets.myntassets.com/v1/images/style/properties/633af5a8334fb1d3913f919a173f7eb8_images.jpg
42959,French Connection Men Black Belt,Will be described later,31.72,Men,accessories,http://assets.myntassets.com/v1/images/style/properties/456405f4c9e388bedb1350c9dfeec501_images.jpg
